category,vendor
entertainment,Hal Mcrcsdfe
groceries,Carrefour
groceries,MACE
health,FLYEfit
health,Flyefit Group Limited
pubs,Dubh Linn
pubs,House Dublin
pubs,O'Gilins
pubs,Round Room
restaurants,Alfredos
restaurants,Ard Bia at Nimmos
restaurants,Baixa Mar
restaurants,Basil
restaurants,Brew
restaurants,Doyles
restaurants,Fat Cats
restaurants,Gelato
restaurants,Glasshouse
restaurants,Halal Fstc
restaurants,Josephine
restaurants,Kingfishers Kitchen
restaurants,Mackenzies (swindon)
restaurants,Ragkoysi Georgia Kai Sia
restaurants,Rastanlage Höhenrain West
restaurants,The Bretzel Bakery
restaurants,The Grounds
restaurants,The Hungry Lyons
services,Aisling Mary Corley
services,JCDecaux
services,Payzone
services,Strike Pay
shopping,Cent Mille Souve
shopping,Dope Snow
shopping,H&M
shopping,"Joann Stores #2396"
shopping,Stock Design Store
shopping,Tartan Weaving Mill
shopping,Urban Outfitters
shopping,Walgreens
shopping,Waverley Mall
shopping,k-kiosk
transfers,To Ben Linn
transfers,To pocket EUR Bills from EUR
transport,Keolis
transport,STIB-MIVB
travel,Filling Station
entertainment,D Kearney Bookmakers
entertainment,Sintra
entertainment,Tullamore Dew Visitor Cen
groceries,Avondwinkel
groceries,SuperValu
income,Plan termination refund
pubs,Peadar Browns
pubs,The Kings Head
restaurants,44 Kitchen Gmbh I. Gr.
restaurants,Alma
restaurants,Baita Bai de Dones
restaurants,Copper + Straw
restaurants,Craft
restaurants,Dionysos in Atlantis
restaurants,Dough Bros
restaurants,Gaillot et Gray
restaurants,Gino's Gelato
restaurants,Noshington
restaurants,Pelekanos Loukas
restaurants,Pita Pit
restaurants,Rest Oceanario
restaurants,Umi Falafel
savings,Instant Access Savings
savings,Savings Vault
services,Department of Justice
shopping,Olive Wood Paros
shopping,Quills Woollen Market
shopping,Sanglard Sports
shopping,Trespass
shopping,zoells.de
transport,GoCar
transport,N6 Concession
transport,Port of Galway
travel,Blue Star Ferries
donation,Parroquia San Jose
entertainment,3Arena
entertainment,Croke Park
entertainment,Edinburgh Castle
entertainment,Surf Arinsal
entertainment,This is Holland
groceries,Asda
groceries,Gourmand Distribucions 20
pubs,Murty Rabbitts
pubs,Opium Dublin
pubs,The Moorings
pubs,The Well
restaurants,194447293
restaurants,Adda
restaurants,Aida
restaurants,Beanieman
restaurants,Billy The Ice
restaurants,Boucherie
restaurants,Deliveroo
restaurants,Hungry Hustle
restaurants,Le Saint Antoine
restaurants,Marruma Taberna
restaurants,Mr Noodle
restaurants,Paw Paw Tree
restaurants,Radeberger Spezialauss
restaurants,Tortilla
services,AG Real Estate
services,Abfallwirtschaft
services,Farrell Catering
services,Sandor
services,Silver Strand Service
services,pearson.com
shopping,Altitude 2000
shopping,Burke's Irish Gifts
shopping,Quills Killarney
shopping,Smile Bil1
shopping,TK Maxx
shopping,WhSmith
transport,Eurolink M4 Motorway
transport,Euskotren
transport,vel'OH!
